year,period,state,state_ansi,ag_district,ag_district_code,county,county_ansi,value,cv
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,69,27.7
2012,END OF DEC,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,56,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,0,0
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,33,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,188,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,77,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,615,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,842,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,41,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,122,27.7
2012,END OF DEC,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,72,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,57,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,0,0
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,25,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,183,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,79,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,0,0
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,266,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,15,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,10,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,113,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,99,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,224,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,75,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,0,0
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,123,27.7
2012,END OF DEC,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,183,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,BARBOUR,5,42,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,COFFEE,31,12,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,COVINGTON,39,199,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,13,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,DALE,45,106,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,GENEVA,61,104,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,HENRY,67,28,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,HOUSTON,69,44,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,PIKE,109,10,27.7
2012,END OF DEC,ALABAMA,1,WIREGRASS,60,RUSSELL,113,23,27.7
2012,END OF DEC,ARIZONA,4,NORTHERN,10,APACHE,1,22,64.8
2012,END OF DEC,ARIZONA,4,NORTHERN,10,COCONINO,5,0,0
2012,END OF DEC,ARIZONA,4,NORTHERN,10,GILA,7,1603,64.8
2012,END OF DEC,ARIZONA,4,NORTHERN,10,MOHAVE,15,7,64.8
2012,END OF DEC,ARIZONA,4,NORTHERN,10,NAVAJO,17,512,64.8
2012,END OF DEC,ARIZONA,4,NORTHERN,10,YAVAPAI,25,0,0
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,COCHISE,3,3615,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,GRAHAM,9,800,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,LAPAZ,12,0,0
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,MARICOPA,13,23212,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,PIMA,19,8872,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,PINAL,21,4065,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,9,64.8
2012,END OF DEC,ARIZONA,4,SOUTHERN,80,YUMA,27,7881,64.8
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,CONWAY,29,37,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,FAULKNER,45,236,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,GARLAND,51,22,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,GRANT,53,0,0
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,60,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,PERRY,105,18,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,PULASKI,119,228,5.6
2012,END OF DEC,ARKANSAS,5,CENTRAL,50,SALINE,125,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,LEE,77,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,36,5.6
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,0,0
2012,END OF DEC,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,0,0
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,117,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,0,0
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,19,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,19,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,MARION,89,32,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,SEARCY,129,26,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,SHARP,135,0,0
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,STONE,137,883,5.6
2012,END OF DEC,ARKANSAS,5,NORTH CENTRAL,20,VAN BUREN,141,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,CLAY,21,50,5.6
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,GREENE,55,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,JACKSON,67,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,16,5.6
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,810,5.6
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,POINSETT,111,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,0,0
2012,END OF DEC,ARKANSAS,5,NORTHEAST,30,WHITE,145,20,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,BENTON,7,155,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,BOONE,9,148,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,CARROLL,15,110,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,MADISON,87,99,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,NEWTON,101,88,5.6
2012,END OF DEC,ARKANSAS,5,NORTHWEST,10,WASHINGTON,143,134,5.6
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,BRADLEY,11,0,0
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,CALHOUN,13,0,0
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,CLARK,19,39,5.6
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,CLEVELAND,25,0,0
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,COLUMBIA,27,3,5.6
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,DALLAS,39,0,0
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,NEVADA,99,6,5.6
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,OUACHITA,103,0,0
2012,END OF DEC,ARKANSAS,5,SOUTH CENTRAL,80,UNION,139,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHEAST,90,DESHA,41,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHEAST,90,DREW,43,19,5.6
2012,END OF DEC,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,HEMPSTEAD,57,23,5.6
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,HOWARD,61,16,5.6
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,LAFAYETTE,73,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,LITTLE RIVER,81,46,5.6
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,MILLER,91,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,MONTGOMERY,97,0,0
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,PIKE,109,4,5.6
2012,END OF DEC,ARKANSAS,5,SOUTHWEST,70,SEVIER,133,18,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,CRAWFORD,33,51,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,FRANKLIN,47,72,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,JOHNSON,71,26,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,LOGAN,83,36,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,POLK,113,45,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,POPE,115,137,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,SCOTT,127,0,0
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,SEBASTIAN,131,50,5.6
2012,END OF DEC,ARKANSAS,5,WEST CENTRAL,40,YELL,149,85,5.6
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,ALAMEDA,1,110586,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,229,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,LAKE,33,165,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,MARIN,41,204,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,MONTEREY,53,1007,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,NAPA,55,615,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SAN BENITO,69,0,0
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SAN FRANCISCO,75,0,0
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SAN LUIS OBISPO,79,643,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SAN MATEO,81,332,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SANTA CLARA,85,233,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SANTA CRUZ,87,1666,38.2
2012,END OF DEC,CALIFORNIA,6,CENTRAL COAST,40,SONOMA,97,2956,38.2
2012,END OF DEC,CALIFORNIA,6,NORTHEAST,30,MODOC,49,605,38.2
2012,END OF DEC,CALIFORNIA,6,NORTHERN COAST,10,DEL NORTE,15,40,38.2
2012,END OF DEC,CALIFORNIA,6,NORTHERN COAST,10,HUMBOLDT,23,213,38.2
2012,END OF DEC,CALIFORNIA,6,NORTHERN COAST,10,MENDOCINO,45,381,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,24423,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,4855,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,51140,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,24510,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,6992,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,16176,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,14427,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,23261,38.2
2012,END OF DEC,CALIFORNIA,6,SACRAMENTO VALLEY,50,YUBA,115,1828,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,57324,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,129731,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,17049,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,66088,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,67350,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,10597,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,25673,38.2
2012,END OF DEC,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,47855,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,ALPINE,3,0,0
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,AMADOR,5,29,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,CALAVERAS,9,58,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,EL DORADO,17,533,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,INYO,27,0,0
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,MARIPOSA,43,24,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,MONO,51,0,0
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,NEVADA,57,2212,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,PLACER,61,14533,38.2
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,SIERRA,91,0,0
2012,END OF DEC,CALIFORNIA,6,SIERRA MOUNTAINS,60,TUOLUMNE,109,265,38.2
2012,END OF DEC,CALIFORNIA,6,SISKIYOU-SHASTA,20,SHASTA,89,36305,38.2
2012,END OF DEC,CALIFORNIA,6,SISKIYOU-SHASTA,20,SISKIYOU,93,1519,38.2
2012,END OF DEC,CALIFORNIA,6,SISKIYOU-SHASTA,20,TRINITY,105,76,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,33126,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,LOS ANGELES,37,9441,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,ORANGE,59,0,0
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,RIVERSIDE,65,23486,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN BERNARDINO,71,54673,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SAN DIEGO,73,43711,38.2
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,SANTA BARBARA,83,0,0
2012,END OF DEC,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,VENTURA,111,7886,38.2
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,ADAMS,1,69,54.7
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,ARAPAHOE,5,66,54.7
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,DOUGLAS,35,234,54.7
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,EL PASO,41,103,54.7
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,ELBERT,39,160,54.7
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,KIT CARSON,63,0,0
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,PHILLIPS,95,0,0
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,0,0
2012,END OF DEC,COLORADO,8,EAST CENTRAL,60,YUMA,125,18,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,BOULDER,13,233,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,JEFFERSON,59,58,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,LARIMER,69,470,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,LOGAN,75,604,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,MORGAN,87,22,54.7
2012,END OF DEC,COLORADO,8,NORTHEAST,20,SEDGWICK,115,0,0
2012,END OF DEC,COLORADO,8,NORTHEAST,20,WELD,123,3620,54.7
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,CHAFFEE,15,18,54.7
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,EAGLE,37,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,GRAND,49,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,GUNNISON,51,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,JACKSON,57,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,MOFFAT,81,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,PARK,93,0,0
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,PITKIN,97,66,54.7
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,RIO BLANCO,103,69,54.7
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,ROUTT,107,1415,54.7
2012,END OF DEC,COLORADO,8,NORTHWEST AND MOUNTAIN,10,TELLER,119,9,54.7
2012,END OF DEC,COLORADO,8,SAN LUIS VALLEY,80,CONEJOS,21,1725,54.7
2012,END OF DEC,COLORADO,8,SAN LUIS VALLEY,80,COSTILLA,23,0,0
2012,END OF DEC,COLORADO,8,SAN LUIS VALLEY,80,RIO GRANDE,105,0,0
2012,END OF DEC,COLORADO,8,SAN LUIS VALLEY,80,SAGUACHE,109,0,0
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,BENT,11,6724,54.7
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,CROWLEY,25,0,0
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,CUSTER,27,82,54.7
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,FREMONT,43,465,54.7
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,HUERFANO,55,21,54.7
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,LAS ANIMAS,71,12,54.7
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,OTERO,89,0,0
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,PROWERS,99,0,0
2012,END OF DEC,COLORADO,8,SOUTHEAST,90,PUEBLO,101,0,0
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,ARCHULETA,7,0,0
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,DELTA,29,0,0
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,DOLORES,33,8,54.7
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,GARFIELD,45,0,0
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,LA PLATA,67,4253,54.7
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,MESA,77,153,54.7
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,93,54.7
2012,END OF DEC,COLORADO,8,SOUTHWEST,70,MONTROSE,85,779,54.7
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,444,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,884,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,961,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,102,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,1560,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,658,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,212,52.9
2012,END OF DEC,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,818,52.9
2012,END OF DEC,DELAWARE,10,CENTRAL,50,KENT,1,207,26.9
2012,END OF DEC,DELAWARE,10,NORTHERN,20,NEW CASTLE,3,185,26.9
2012,END OF DEC,DELAWARE,10,SOUTHERN,80,SUSSEX,5,425,26.9
2012,END OF DEC,FLORIDA,12,CENTRAL,50,ALACHUA,1,10589,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,BRADFORD,7,47,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,CITRUS,17,0,0
2012,END OF DEC,FLORIDA,12,CENTRAL,50,CLAY,19,237,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,FLAGLER,35,21,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,GILCHRIST,41,268,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,HERNANDO,53,444,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,HILLSBOROUGH,57,1845,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,LAKE,69,16173,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,LEVY,75,134,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,MARION,83,5829,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,ORANGE,95,769,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,OSCEOLA,97,19,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,PASCO,101,0,0
2012,END OF DEC,FLORIDA,12,CENTRAL,50,PINELLAS,103,142,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,POLK,105,17570,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,PUTNAM,107,1881,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,SEMINOLE,117,225,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,ST. JOHNS,109,0,0
2012,END OF DEC,FLORIDA,12,CENTRAL,50,SUMTER,119,6,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,UNION,125,229,31.1
2012,END OF DEC,FLORIDA,12,CENTRAL,50,VOLUSIA,127,0,0
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,BAKER,3,144,31.1
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,COLUMBIA,23,0,0
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,DIXIE,29,296,31.1
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,DUVAL,31,215,31.1
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,HAMILTON,47,0,0
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,LAFAYETTE,67,12,31.1
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,MADISON,79,451,31.1
2012,END OF DEC,FLORIDA,12,NORTHEAST,30,NASSAU,89,133,31.1
